,id,title,popularity,release_date,vote_average,vote_count
108,995133,"The Boy, the Mole, the Fox and the Horse",3.2104,2022-12-25,8.211,681
109,618344,Justice League Dark: Apokolips War,2.6764,2020-05-05,8.21,1530
110,635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,12.3895,2020-10-16,8.208,4350
111,315162,Puss in Boots: The Last Wish,15.9274,2022-12-07,8.207,8549
112,1124,The Prestige,12.8703,2006-10-17,8.206,17062
113,694,The Shining,14.6309,1980-05-23,8.206,18439
114,50014,The Help,9.6044,2011-08-09,8.205,8794
115,16672,Woman in the Dunes,3.2036,1964-02-15,8.2,500
116,11324,Shutter Island,16.7544,2010-02-14,8.2,25187
117,11,Star Wars,29.3595,1977-05-25,8.202,21771
118,283566,Evangelion: 3.0+1.0 Thrice Upon a Time,5.5728,2021-03-08,8.201,896
119,354912,Coco,16.3896,2017-10-27,8.2,20519
120,441130,Wolfwalkers,6.3494,2020-10-26,8.197,1320
121,284,The Apartment,6.7045,1960-06-21,8.2,2530
122,290098,The Handmaiden,15.8811,2016-06-01,8.194,4127
123,324786,Hacksaw Ridge,13.4594,2016-10-07,8.192,14493
124,313106,Doctor Who: The Day of the Doctor,2.0431,2013-11-23,8.19,764
125,522924,The Art of Racing in the Rain,3.5544,2019-08-08,8.185,1612
126,68718,Django Unchained,29.9033,2012-12-25,8.185,27373
127,620683,My Mom Is a Character 3,0.466,2019-12-26,8.182,491
128,185,A Clockwork Orange,8.3097,1971-10-28,8.18,13505
129,77,Memento,9.5416,2000-10-11,8.177,15764
130,829402,Ultraman: Rising,3.1435,2024-06-14,8.176,357
131,5156,Bicycle Thieves,2.4627,1948-07-21,8.175,2571
132,629,The Usual Suspects,11.2355,1995-07-19,8.172,11037
133,476292,Maquia: When the Promised Flower Blooms,3.9239,2018-02-24,8.2,680
134,348,Alien,18.7491,1979-05-25,8.167,15851
135,26451,Investigation of a Citizen Above Suspicion,1.2354,1970-10-16,8.2,848
136,537061,Steven Universe: The Movie,5.0764,2019-10-07,8.164,835
137,490,The Seventh Seal,6.0399,1957-02-16,8.2,3230
138,18148,Tokyo Story,3.0744,1953-11-03,8.163,1169
139,20941,Innocent Voices,4.4697,2005-01-28,8.2,508
140,803796,KPop Demon Hunters,70.1649,2025-06-20,8.162,2130
141,361743,Top Gun: Maverick,21.7345,2022-05-21,8.16,10445
142,1422,The Departed,10.7734,2006-10-04,8.159,15738
143,489,Good Will Hunting,14.1072,1997-12-05,8.157,13361
144,111,Scarface,16.5453,1983-12-09,8.157,12633
145,426,Vertigo,7.151,1958-05-09,8.153,6142
146,399106,Piper,4.6859,2016-06-16,8.152,1697
147,81481,Silenced,3.5849,2011-09-22,8.15,730
148,37165,The Truman Show,14.503,1998-06-04,8.149,19592
149,10098,The Kid,3.11,1921-01-21,8.146,2280
150,592350,My Hero Academia: Heroes Rising,7.1289,2019-12-20,8.146,1240
151,517814,Capernaum,3.7708,2018-09-20,8.144,1890
152,289,Casablanca,7.1039,1943-01-15,8.144,5844
153,851644,20th Century Girl,9.4899,2022-10-06,8.142,778
154,797,Persona,4.8499,1966-10-18,8.1,2342
155,872,Singin' in the Rain,5.3688,1952-04-10,8.14,3378
156,606856,Togo,7.0182,2019-12-20,8.138,2171
157,666,Central Station,3.7822,1998-04-03,8.1,1007
158,458220,Palmer,7.7802,2021-01-28,8.137,1842
159,9702,Bound by Honor,7.7783,1993-02-05,8.137,1468
160,280,Terminator 2: Judgment Day,17.7728,1991-07-03,8.1,13805
161,1103621,How to Make Millions Before Grandma Dies,6.2956,2024-04-04,8.139,334
162,693134,Dune: Part Two,21.7216,2024-02-27,8.1,7336
163,103,Taxi Driver,13.8921,1976-02-09,8.131,13051
164,812225,Black Clover: Sword of the Wizard King,5.6087,2023-06-16,8.129,342
165,475557,Joker,17.5899,2019-10-01,8.129,27113
166,935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,4.753,1964-01-29,8.125,5971
167,20914,My Friends,4.7229,1975-10-24,8.124,729
168,600,Full Metal Jacket,8.2544,1987-06-26,8.123,11133
169,422,8½,3.8362,1963-02-14,8.121,2456
170,3780,Red Beard,2.3788,1965-03-04,8.12,392
171,500,Reservoir Dogs,9.5373,1992-09-02,8.117,15026
172,810693,Jujutsu Kaisen 0,9.086,2021-12-24,8.117,1618
173,575813,Better Days,2.4287,2019-10-25,8.114,520
174,1398,Stalker,5.0366,1979-05-25,8.111,2400
175,795607,Green Snake,3.1591,2021-07-23,8.111,346
176,406997,Wonder,6.2792,2017-11-13,8.111,8122
177,823219,Flow,15.0291,2024-08-29,8.108,2524
178,531428,Portrait of a Lady on Fire,6.0713,2019-09-18,8.108,2827
179,46738,Incendies,13.0423,2010-09-17,8.107,3103
